epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,407.659,1.34635,3.97019,1.35784,0.01436,0.3141,0.21019,0.15158,1.1776,3.91981,1.20997,0.000827092,0.000275697,0.000827092,0.000275697,0.000827092,0.000275697,0.000827092,0.000275697
2,668.874,1.16456,3.3821,1.22576,0.66088,0.51825,0.64577,0.43019,1.17376,2.49545,1.25317,0.00157792,0.000525973,0.00157792,0.000525973,0.00157792,0.000525973,0.00157792,0.000525973
3,888.215,1.1594,2.25239,1.23504,0.84206,0.73226,0.82429,0.56093,1.12394,1.58047,1.20713,0.00224628,0.000748759,0.00224628,0.000748759,0.00224628,0.000748759,0.00224628,0.000748759
4,1093.69,1.11545,1.57294,1.19046,0.90797,0.77931,0.87027,0.61057,1.07679,1.2629,1.13295,0.0021279,0.000709299,0.0021279,0.000709299,0.0021279,0.000709299,0.0021279,0.000709299
5,1295.06,1.04815,1.22591,1.14157,0.88431,0.85097,0.90015,0.64178,1.04027,1.10392,1.11257,0.0020042,0.000668066,0.0020042,0.000668066,0.0020042,0.000668066,0.0020042,0.000668066
6,1516.93,1.01764,1.10797,1.12474,0.89578,0.86276,0.91041,0.66007,1.00308,1.03387,1.07937,0.0018805,0.000626832,0.0018805,0.000626832,0.0018805,0.000626832,0.0018805,0.000626832
7,1734.58,0.9982,1.05075,1.10382,0.893,0.87205,0.91482,0.66892,0.99471,1.01264,1.07095,0.0017568,0.000585599,0.0017568,0.000585599,0.0017568,0.000585599,0.0017568,0.000585599
8,1961.89,0.97621,0.98116,1.08448,0.89063,0.87724,0.92643,0.67972,0.97828,0.97193,1.05571,0.0016331,0.000544365,0.0016331,0.000544365,0.0016331,0.000544365,0.0016331,0.000544365
9,2182.6,0.95744,0.95188,1.07007,0.90086,0.88731,0.92965,0.68422,0.97182,0.94785,1.05034,0.0015094,0.000503132,0.0015094,0.000503132,0.0015094,0.000503132,0.0015094,0.000503132
10,2412.57,0.92439,0.91853,1.06263,0.8831,0.89741,0.9305,0.69118,0.95517,0.93452,1.03996,0.0013857,0.000461898,0.0013857,0.000461898,0.0013857,0.000461898,0.0013857,0.000461898
11,2616.84,0.87892,0.91255,1.04076,0.89021,0.87076,0.93044,0.69478,0.93832,0.94702,1.03249,0.00126199,0.000420665,0.00126199,0.000420665,0.00126199,0.000420665,0.00126199,0.000420665
12,4017.44,0.86033,0.85942,1.03188,0.88153,0.88967,0.93714,0.70226,0.92436,0.90277,1.02666,0.00113829,0.000379431,0.00113829,0.000379431,0.00113829,0.000379431,0.00113829,0.000379431
13,4219.93,0.8432,0.82976,1.01352,0.89355,0.88759,0.93802,0.70644,0.91404,0.8824,1.0229,0.00101459,0.000338198,0.00101459,0.000338198,0.00101459,0.000338198,0.00101459,0.000338198
14,4415.31,0.83458,0.81628,1.01163,0.90944,0.87855,0.94138,0.71027,0.90965,0.87828,1.02009,0.000890893,0.000296964,0.000890893,0.000296964,0.000890893,0.000296964,0.000890893,0.000296964
15,4632.21,0.8299,0.80101,1.00748,0.89907,0.901,0.94693,0.71684,0.90132,0.85757,1.01484,0.000767193,0.000255731,0.000767193,0.000255731,0.000767193,0.000255731,0.000767193,0.000255731
16,4841.11,0.81526,0.77963,1.00492,0.89902,0.89953,0.94714,0.71563,0.89546,0.84325,1.01025,0.000643493,0.000214497,0.000643493,0.000214497,0.000643493,0.000214497,0.000643493,0.000214497
17,5065.21,0.81178,0.77495,0.9986,0.90121,0.90071,0.9504,0.72026,0.89056,0.82325,1.00805,0.000519792,0.000173264,0.000519792,0.000173264,0.000519792,0.000173264,0.000519792,0.000173264
18,5284.42,0.81403,0.76418,0.99543,0.90278,0.90865,0.95047,0.72336,0.88575,0.81883,1.00491,0.000396092,0.000132031,0.000396092,0.000132031,0.000396092,0.000132031,0.000396092,0.000132031
19,5505.28,0.80164,0.76096,0.99409,0.90226,0.908,0.95259,0.72172,0.88473,0.81583,1.00537,0.000272391,9.0797e-05,0.000272391,9.0797e-05,0.000272391,9.0797e-05,0.000272391,9.0797e-05
20,5733.44,0.79958,0.76444,0.99298,0.91167,0.90154,0.95324,0.72319,0.88243,0.8156,1.00305,0.000148691,4.95635e-05,0.000148691,4.95635e-05,0.000148691,4.95635e-05,0.000148691,4.95635e-05
